trial,snr_db_los_only,snr_db_los_plus_ris
56,99.21204103842985,99.85557252164206
57,98.34243040765953,100.72518304819377
58,99.02158891183112,100.53473073712422
59,98.72615584780435,100.23929741060181
60,98.68118280274453,100.19432412624879
61,98.76660800282052,100.27974997805443
62,99.14767277996899,100.66081447077813
63,98.55356994285897,100.0667117687141
64,98.53704570695314,100.0501877155271
65,98.94388227686701,100.45702390882636
66,98.74135783148725,100.25695136395852
67,98.74380846841683,100.5383384567993
68,99.12117090905622,100.2544999515037
69,99.02519660147149,100.63431304344114
70,99.43223307141164,100.94537465921852
71,99.23779288500361,100.64894546327449
72,99.13580265633563,100.75093470504618
73,99.00708651352686,100.52022785866467
74,98.50126694013967,100.23907359107687
75,98.65235607230449,100.01440909680086
76,98.72593100078456,100.16549859328757
77,98.92469017536891,100.14197466254588
78,98.62883236120005,100.4378321328659
79,98.43344293132321,99.94658510484201
80,98.43032426091347,100.68996383838933
81,99.17682236688006,99.94346570115195
82,99.03831522721136,100.19065275140599
83,98.67750964490148,100.55145765187532
84,98.35689571799978,99.87003681386938
85,98.82438446142572,100.33752649343393
86,99.18523489823171,100.69837770084195
87,98.98720705470285,100.50034899253598
88,99.01971284185997,100.67179924495632
89,99.15865768199674,100.53285456100156
90,98.88868945728353,100.40183224080108
91,99.18895068017626,100.70209230293152
92,98.76739356866256,100.28053530915503
93,99.20799414018147,100.72113553915388
94,99.25751892681265,100.44865075734651
95,98.93550864123546,100.8671356242256
96,99.35399372379763,100.77066028620017
97,98.41365374133197,99.92679573408202
98,98.77348353550744,100.99202560276726
99,99.47888384616218,100.33731144122558
100,98.82416965751847,100.28662597208707
101,98.99586108697952,99.85274948283495
102,98.54053281075153,100.5090028463516
103,98.86083357967621,100.37397578886514
104,98.33960747188115,100.05367518263212
105,98.8090515640895,100.32219376879902
106,98.44907904065053,99.96222092223272
107,99.0084023081132,100.52154395819493
108,99.34919405711386,100.86233567853907
109,99.29293670122483,100.806078757088
110,98.88294381575768,100.39608542775935
111,98.69713502390168,100.21027711344546
112,98.78420512409633,100.10765701463201
113,99.04402345847998,100.25995610930606
114,98.59451475940799,100.29734714780938
115,98.7468140094691,100.55716585070387
116,98.82946033282592,100.34260160102957
117,99.63086212276231,101.14400343398721
118,99.54244774529066,101.055589440057
119,98.73573983248038,100.24888147585187
120,99.18692023801889,100.70006183593512
121,98.46008519461245,99.9732267487997
122,99.01580184395999,100.5289439876973
123,98.75869697696906,100.76816959165156
124,99.0040282715444,100.51717035867463
125,99.25502742727284,100.27183926396083
126,99.0072009367727,100.52034280854488
127,99.0134951514751,100.33370181026122
